age,income,spending_score,purchase_amount,category,region,channel,purchase_date,converted,num_purchases,tenure_days,satisfaction_score
72.0,49082.56760325833,71.0,48.34218120831344,Electronics,East,Store,2023-09-05,1,5,1710,7.0
40.0,69416.94446915746,36.0,49.74672385180492,Clothing,East,Online,2023-09-15,1,4,1682,10.0
41.0,21600.82192442489,14.0,510.0005131415168,Electronics,West,Online,2023-07-11,0,2,1652,8.0
54.0,67351.1886936548,78.0,406.30413275323826,Clothing,East,Online,2023-04-06,1,4,1355,9.0
52.0,88367.79971986407,3.0,28.656948137693977,Toys,East,Online,2023-02-05,1,5,644,2.0
,170717.39350298222,67.0,120.36054857833001,Food,North,Online,2023-04-06,1,5,1356,
57.0,38399.414039556315,86.0,124.81169873146592,Home,South,Store,2023-02-06,1,7,1530,9.0
39.0,21767.827980836195,,69.99803300333147,Home,West,Online,2023-08-22,0,10,344,7.0
44.0,16285.370276335085,99.0,36.2205611642912,Sports,West,Store,2023-04-12,1,5,1668,7.0
52.0,,76.0,68.4700096726719,Books,South,Store,2023-06-29,1,5,1482,4.0
18.0,98698.45394582849,54.0,57.20557957723186,Home,West,Online,2023-11-21,1,6,395,1.0
52.0,10806.723066957633,69.0,37.09683054005685,Food,West,Online,2023-03-11,1,7,1115,8.0
54.0,96201.36141925429,10.0,340.0407013048689,Clothing,West,Online,2023-04-17,1,6,851,10.0
64.0,18128.61986729278,33.0,196.94934638814058,Clothing,North,Store,2023-09-28,0,5,154,9.0
31.0,20990.705882433725,13.0,93.30533978035044,Clothing,North,Store,2023-12-20,0,9,1000,4.0
20.0,32168.906745542055,99.0,18.716986643047075,Clothing,West,Online,2023-02-16,1,4,1423,1.0
18.0,20683.185621398217,51.0,110.04879855689086,Home,South,Online,2023-04-18,1,8,682,9.0
22.0,76541.15155204153,32.0,249.8986972096342,Food,South,Online,2023-12-30,1,6,1321,5.0
43.0,154921.70846060122,75.0,71.09066407538208,Electronics,North,Store,2023-03-10,1,6,1567,6.0
72.0,21462.32333756171,24.0,46.99467133290505,Toys,North,Online,2023-11-04,0,5,71,2.0
31.0,25699.06088223301,35.0,131.23347420159735,Clothing,East,Store,2023-01-02,0,2,1235,5.0
56.0,31867.544407895875,83.0,207.4870292516725,Food,North,Store,2023-08-07,1,4,1064,1.0
44.0,55985.35461570111,,20.08692556927745,Home,West,Online,2023-02-14,1,3,269,3.0
26.0,32119.306497327532,,574.792518268923,Food,North,Store,2023-08-21,1,9,398,1.0
32.0,110172.86693700492,54.0,42.55821667674318,Clothing,East,Online,2023-07-08,1,5,1643,1.0
32.0,90880.35436858091,44.0,97.24341609196134,Sports,East,Online,2023-12-14,1,8,435,9.0
43.0,14067.607839286762,62.0,483.6062449904543,Electronics,South,Online,2023-05-02,1,7,242,6.0
,550928.1197516372,99.0,841.1726818203555,Food,South,Online,2023-03-06,1,7,138,8.0
30.0,122549.63245978528,68.0,444.11850685946837,Clothing,West,Online,2023-05-29,1,4,206,5.0
68.0,24444.859890797772,33.0,701.821403329109,Food,North,Store,2023-09-06,0,3,66,9.0
49.0,28698.154672787736,77.0,34.47808706980054,Electronics,East,Catalog,2023-03-08,1,4,1857,4.0
56.0,,56.0,365.7843329115847,Home,East,Store,2023-12-16,1,3,1014,10.0
66.0,24205.605258612435,36.0,558.629718686869,Electronics,South,Online,2023-02-28,0,4,1742,8.0
69.0,9559.003445134951,54.0,101.92063805680422,Books,South,Catalog,2023-04-25,1,4,599,6.0
49.0,125483.94885717618,19.0,551.8210924618782,Sports,North,Online,2023-04-26,1,10,1312,10.0
21.0,38637.515012580865,43.0,21.910285509709862,Clothing,East,Online,2023-08-25,1,5,991,5.0
47.0,121890.50000262311,12.0,324.1088615344271,Clothing,South,Online,2023-02-16,1,9,1016,5.0
,22232.519758288963,11.0,11.765031323992234,Home,North,Store,2023-04-19,0,9,190,3.0
40.0,21715.77334294783,70.0,391.03920130951116,Electronics,North,Online,2023-10-01,1,5,943,4.0
56.0,141664.49877215797,12.0,35.9572451750767,Electronics,North,Store,2023-04-23,1,5,1997,10.0
62.0,14963.871835073618,91.0,596.2670884078824,Electronics,South,Online,2023-02-02,1,3,104,5.0
32.0,9614.286707031488,41.0,220.5828662674222,Food,South,Store,2023-10-07,0,5,1252,9.0
60.0,,25.0,407.0628913130619,Electronics,South,Store,2023-10-19,0,4,66,10.0
46.0,21370.621206107327,3.0,65.83970192987051,Clothing,West,Store,2023-11-12,0,5,1743,3.0
53.0,8973.55800286898,3.0,39.11657948268954,Home,West,Catalog,2023-06-11,0,2,577,5.0
30.0,32779.76341718579,84.0,25.441401724225333,Electronics,West,Store,2023-03-31,1,7,1848,9.0
49.0,77556.11981157429,28.0,441.9527660494816,Electronics,South,Online,2023-02-20,1,1,1971,1.0
24.0,12980.924089088274,23.0,287.99412167123666,Books,South,Store,2023-05-24,0,3,1340,5.0
68.0,38951.111020347154,48.0,298.393488310058,Home,West,Online,2023-04-14,1,4,1477,4.0
39.0,49848.74205667708,67.0,198.62971664933798,Clothing,East,Catalog,2023-06-19,1,5,467,1.0
45.0,33972.02190789301,42.0,255.66591753611485,Electronics,East,Store,2023-01-16,1,5,1885,1.0
19.0,42131.63117119425,88.0,110.8674065203724,Food,East,Online,2023-05-13,1,6,739,7.0
59.0,425256.12058739417,40.0,1074.6373623249028,Electronics,East,Store,2023-06-19,1,7,1811,6.0
62.0,,6.0,63.001785072875734,Toys,West,Online,2023-01-30,0,5,1426,1.0
74.0,120435.0710955234,20.0,105.34776248216552,Home,North,Online,2023-06-09,1,6,1874,4.0
70.0,98538.78118234145,11.0,3112.960543154973,Toys,North,Store,2023-05-27,1,5,1875,7.0
23.0,94082.6676442779,96.0,154.30348530041303,Sports,East,Online,2023-11-03,1,8,979,6.0
,81710.72886105416,27.0,20.663712387024134,Food,South,Catalog,2023-08-25,1,2,254,10.0
45.0,,21.0,98.63340471015943,Home,East,Online,2023-06-24,0,7,1955,2.0
61.0,76179.66954840613,13.0,51.54615495898081,Sports,East,Store,2023-03-13,1,10,861,9.0
61.0,61358.01847206194,86.0,174.02840181498084,Food,North,Store,2023-12-29,1,2,723,10.0
37.0,10623.046393556975,35.0,60.98579005854353,Electronics,South,Catalog,2023-05-07,0,2,1630,3.0
47.0,30579.089842561585,47.0,120.08125317567257,Food,North,Online,2023-07-15,1,6,1668,2.0
28.0,45316.875036248035,86.0,70.82131280567697,Electronics,South,Online,2023-07-04,1,6,459,1.0
72.0,137510.2417129139,28.0,180.76251866483284,Home,West,Store,2023-05-30,1,4,199,3.0
,64846.55633405351,21.0,79.24950559720553,Home,North,Store,2023-08-02,1,2,1423,6.0
42.0,18184.91018007458,18.0,212.0622942898447,Toys,West,Online,2023-04-04,0,10,653,10.0
56.0,140971.18217889746,31.0,1041.6710266198834,Food,West,Store,2023-02-27,1,4,1801,1.0
,37609.945792999155,60.0,46.78617641000765,Sports,East,Catalog,2023-08-07,1,2,122,2.0
18.0,29594.00513204534,37.0,306.0826653337559,Clothing,South,Store,2023-08-07,0,2,1640,9.0
74.0,27953.716594953934,21.0,12.770913947491065,Clothing,North,Store,2023-01-13,0,2,1529,1.0
44.0,9908.574868653468,14.0,117.59288861607922,Books,East,Store,2023-10-10,0,5,853,1.0
74.0,33262.44949629208,89.0,186.58833553905694,Home,North,Online,2023-05-20,1,4,1989,9.0
69.0,54067.48166558862,91.0,70.24487249546475,Home,West,Catalog,2023-10-01,1,4,44,3.0
30.0,,60.0,24.843773977684716,Clothing,North,Store,2023-04-29,1,7,315,6.0
58.0,50836.098509897296,23.0,142.87358541808072,Home,North,Online,2023-09-28,1,6,1076,3.0
20.0,18187.451245830896,95.0,686.8496350870445,Books,East,Online,2023-04-07,1,7,809,2.0
,32443.573798548954,29.0,128.19475657724502,Electronics,South,Online,2023-11-26,1,4,532,3.0
23.0,46780.99273587131,,259.45252137844903,Home,North,Store,2023-02-16,1,6,633,10.0
25.0,42265.596037392716,30.0,458.0052476324703,Clothing,West,Store,2023-06-01,1,4,892,4.0
44.0,10053.015600451952,90.0,1757.1958414229819,Electronics,West,Catalog,2023-06-22,1,5,1723,1.0
26.0,25560.28961718389,84.0,51.81669339663902,Home,East,Catalog,2023-10-02,1,4,152,3.0
54.0,138964.0220240503,38.0,57.44852677985475,Electronics,West,Online,2023-12-13,1,6,644,7.0
50.0,24490.5630460061,83.0,110.80428672096399,Clothing,North,Store,2023-08-25,1,4,1325,2.0
68.0,36777.665909748845,27.0,274.6332684377264,Sports,South,Store,2023-01-31,1,7,1211,
59.0,33880.51670086971,89.0,14.574864224272316,Home,North,Online,2023-08-01,1,5,609,4.0
61.0,127336.92523005206,,285.3621079478625,Clothing,East,Store,2023-09-29,1,9,1342,7.0
41.0,101955.78294673993,93.0,172.13241823085053,Books,West,Online,2023-03-19,1,5,470,3.0
32.0,69287.84686289194,15.0,87.01283565167948,Electronics,North,Online,2023-10-06,1,1,894,
,16670.66970664958,59.0,227.12714022461935,Toys,North,Online,2023-02-10,1,4,1305,10.0
49.0,48404.42137974478,3.0,361.27853732585976,Home,West,Store,2023-05-26,1,6,1721,7.0
49.0,57202.52927359288,10.0,414.8934647745789,Clothing,South,Store,2023-01-12,1,8,498,3.0
41.0,20766.909958224936,79.0,150.6204928866745,Electronics,South,Store,2023-09-05,1,2,1772,6.0
58.0,18098.53573426131,,205.62065615388025,Clothing,South,Store,2023-08-17,1,7,1591,9.0
69.0,142060.92839550923,17.0,198.01084841777975,Electronics,West,Online,2023-11-27,1,5,1690,7.0
66.0,28548.433651281834,83.0,508.3637733835429,Food,North,Online,2023-06-28,1,5,555,5.0
66.0,132188.13541443853,11.0,217.2863816593526,Clothing,East,Online,2023-12-07,1,6,1750,1.0
69.0,80633.9458640042,48.0,282.9367239959437,Clothing,North,Online,2023-06-09,1,6,1708,8.0
29.0,50327.22317572016,5.0,362.36810125081826,Home,West,Catalog,2023-08-09,1,9,1759,4.0
56.0,52157.59821702318,69.0,1052.1216957280535,Electronics,West,Store,2023-11-23,1,8,45,2.0
19.0,11845.038320324897,64.0,82.61449425133192,Food,North,Online,2023-06-13,1,8,322,9.0
20.0,42848.23889440395,14.0,754.2385474101735,Electronics,West,Online,2023-06-17,1,6,280,3.0
66.0,112827.6069296028,50.0,1756.5374276813577,Home,North,Store,2023-08-07,1,2,1832,6.0
54.0,62634.50495184005,26.0,88.05461388072455,Food,North,Store,2023-03-11,1,4,808,3.0
66.0,41087.916287471984,,119.48727210090819,Sports,South,Store,2023-09-17,1,4,190,7.0
73.0,142849.9070039239,,96.69377624516147,Electronics,West,Online,2023-03-04,1,6,1311,2.0
34.0,31318.59914305964,7.0,286.25654155152023,Electronics,West,Store,2023-09-03,1,10,1598,4.0
66.0,22122.610410158813,16.0,23.0651625374197,Electronics,South,Online,2023-02-19,0,6,1116,10.0
19.0,41071.32764666449,55.0,90.06232012240885,Electronics,South,Store,2023-10-13,1,7,1952,9.0
19.0,67048.65940091445,78.0,112.88367039384316,Electronics,South,Online,2023-08-22,1,4,369,8.0
45.0,9189.02139066158,56.0,103.43109513033507,Food,East,Online,2023-01-16,1,7,318,8.0
71.0,45610.57674604574,4.0,102.39496377175347,Food,West,Store,2023-01-04,1,4,1847,8.0
40.0,69444.00424075132,48.0,90.98916392945553,Sports,North,Online,2023-10-09,1,6,1038,7.0
54.0,29269.072743329263,17.0,322.91388135662885,Clothing,North,Store,2023-06-06,0,9,831,6.0
49.0,88042.22545057362,36.0,254.23123296744825,Food,North,Online,2023-08-08,1,4,1131,8.0
50.0,60654.513471445614,70.0,815.1734763834496,Toys,West,Online,2023-12-14,1,4,1489,7.0
18.0,201411.72897973022,80.0,323.7376153594028,Food,East,Catalog,2023-12-30,1,2,890,1.0
36.0,19920.75997836184,93.0,49.521696609938594,Food,West,Online,2023-02-20,1,6,991,6.0
19.0,70584.64312868814,38.0,125.20631922942943,Toys,West,Online,2023-02-11,1,3,271,8.0
70.0,16093.019310703638,62.0,112.59171924146253,Toys,West,Online,2023-05-15,1,1,997,5.0
61.0,9973.69931708322,48.0,191.5671190680104,Clothing,West,Catalog,2023-10-01,0,4,1976,6.0
43.0,7126.49869193544,10.0,442.85820490046007,Home,West,Store,2023-09-16,0,4,1509,2.0
49.0,,36.0,178.72263131533896,Food,East,Catalog,2023-07-10,1,9,868,2.0
23.0,42082.966060462786,29.0,179.1980865888717,Home,South,Store,2023-09-13,1,3,1256,2.0
49.0,24754.415450131346,78.0,149.91101477802266,Books,North,Store,2023-08-24,1,6,401,6.0
72.0,87884.754378234,4.0,1669.0700641738183,Clothing,West,Online,2023-10-03,1,6,1284,5.0
21.0,20903.893220312224,44.0,84.0233579518481,Sports,West,Store,2023-12-20,0,2,635,6.0
72.0,36434.60927446609,56.0,34.570137138796795,Home,West,Online,2023-03-14,1,1,516,6.0
28.0,68496.33323725837,42.0,282.75448479410863,Clothing,North,Store,2023-03-15,1,7,1230,4.0
73.0,35838.26297452988,13.0,215.9759692829702,Sports,East,Store,2023-05-03,1,5,1356,7.0
34.0,44429.02602662419,46.0,557.4753433314047,Clothing,North,Store,2023-03-11,1,5,690,9.0
55.0,26878.82538535247,82.0,13.093131540028997,Electronics,East,Online,2023-03-20,1,10,1970,7.0
41.0,147175.25433705523,33.0,134.24286705152497,Toys,South,Store,2023-09-05,1,8,1252,6.0
22.0,16081.105406209088,21.0,165.1267817061638,Clothing,West,Store,2023-07-06,0,5,1265,3.0
69.0,20756.3899193251,80.0,32.757175639705665,Food,East,Online,2023-05-21,1,4,1370,6.0
51.0,24492.287248938737,79.0,136.1018696760096,Sports,North,Catalog,2023-10-25,1,3,1422,8.0
23.0,56059.19799246223,57.0,486.3471494720895,Toys,East,Store,2023-02-13,1,4,1808,8.0
39.0,15818.132193019908,69.0,1195.2548529948394,Sports,East,Online,2023-09-04,1,6,1963,4.0
28.0,40480.46829465981,70.0,396.3932996689099,Food,South,Store,2023-12-02,1,4,945,5.0
